alpha_id,expr,sharpe,fitness,turnover,ic_mean
vYQ50pv,fnd6_mfmq_cshprq/sales,0.45,0.48,0.0388,0.007268
r0xbzgd,fnd6_newa2v1300_ppent/sales,0.44,0.44,0.038,0.006467
Mgrbxwr,fnd6_cshtrq/sales,0.29,0.27,0.0471,0.004675
Mgrbxwr,fnd6_cshtrq/sales,0.29,0.27,0.0471,0.004675
QW8n0XX,fnd6_mrc2/sales,0.29,0.24,0.0399,0.004264
ZXJjdPd,fnd6_cptmfmq_opepsq/sales,-0.1,-0.04,0.0434,-0.00114
QW8n6g5,fnd6_incorp/sales,0.5,0.65,0.0505,0.008266
7GpJkR2,fnd6_teq/sales,0.3,0.23,0.0356,0.004006
ZXJr3d1,fnd6_cptmfmq_lctq/sales,0.47,0.48,0.0465,0.005498
L8QkxGn,fnd6_newa1v1300_gp/sales,-0.66,-0.8,0.0395,-0.009308
QW8EaaG,fnd6_loc/sales,-0.33,-0.33,0.0409,-0.00619
3GNzpoe,fnd6_acqgdwl/sales,-0.58,-0.55,0.0366,-0.006102
2GYJmqx,fnd6_fyrc/sales,0.4,0.4,0.0437,0.005688
gr2xdYK,fnd6_newqv1300_intanoq/sales,-0.05,-0.02,0.0389,-0.000765
k8AQpv6,fnd6_mfma1_at/sales,0.52,0.52,0.036,0.007043
e1jrl5O,fnd6_cptmfmq_ceqq/sales,0.23,0.16,0.0376,0.00306
QW8QJ6r,fnd6_ein/sales,0.43,0.45,0.0457,0.00602
vYQmaqb,fnd6_dlto/sales,0.06,0.02,0.0395,0.000685
L8QR6X2,fnd6_newa1v1300_bkvlps/sales,-0.01,-0.0,0.0477,-6.1e-05
oPdYljv,liabilities/assets,1.35,1.09,0.0185,0.008737
gr23b7K,sales/assets,0.78,0.49,0.0217,0.004634
bxw9zbm,operating_income/assets,0.54,0.43,0.0343,0.004651
XN0KOV1,capex/assets,0.08,0.01,0.0216,0.000391
L8QRv0e,debt/assets,1.37,1.1,0.0282,0.005685
xlZxOlq,ebit/assets,0.13,0.05,0.024,0.001617
PPVp9kp,ebitda/assets,0.18,0.09,0.0252,0.002243
aRpdMM1,equity/assets,-1.46,-1.22,0.0219,-0.007928
PPVpnLK,enterprise_value/assets,-0.31,-0.19,0.0655,-0.001473
R5gp7ro,eps/assets,0.11,0.04,0.0451,0.000745
mKv8YN9,debt_lt/assets,1.31,0.99,0.0205,0.006999
oPdKZVm,assets_curr/assets,-0.12,-0.04,0.0187,-0.001155
8Gwzxwq,goodwill/assets,0.17,0.06,0.0217,0.001257
k8A0R9g,cash/assets,-0.26,-0.13,0.0236,-0.00267
lgmlR9x,income/assets,0.39,0.26,0.0416,0.002757
jV70gj5,revenue/assets,0.77,0.49,0.0217,0.004643
GQRLGbG,cogs/assets,0.44,0.19,0.022,0.002162
ZXJnAg1,cashflow_op/assets,0.17,0.08,0.0261,0.001919
e1j0NlN,bookvalue_ps/assets,-0.19,-0.09,0.0399,-0.001566
lgmlP22,ppent/assets,1.13,0.71,0.0208,0.004739
GQReP5Q,operating_expense/assets,0.27,0.09,0.0241,0.001258
WY5Va0P,inventory/assets,0.88,0.51,0.0217,0.00389
